"No","Kategori","Kategori_Slug","İçereceği Eşyalar (Craft & Oyun İhtiyacı)","Kopyalanabilir Yapay Zeka Promptu (Direct Front Orthographic View)"
19,"Ağır Sanayi & Fabrika Parçaları","agir_sanayi","Elektrik motoru, Hidrolik piston, Dişli çark, Vinç zinciri, Buhar vanası, Boru dirseği, Manometre, Şalter kutusu","knolling sprite sheet collection of heavy industrial machinery components, large electric motor generator dynamo, heavy hydraulic cylinder piston, massive cast iron gear cogwheel, heavy hoist chain with forged hook, large industrial brass steam gate valve, pipe elbow connector, circular pressure gauge manometer, industrial electrical switch box, accurate relative real-world scale proportions, motor and piston are large and pressure gauge is small, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
20,"Taktik & Hayatta Kalma Donanımları","taktik_hayatta_kalma","Sırt çantası, Gaz maskesi, Dürbün, Matara, Telsiz, Av bıçağı, İlk yardım çantası, El feneri, Çok amaçlı çakı, Pusula","knolling sprite sheet collection of military survivalist and tactical field gear, large tactical coyote backpack, military gas mask, rugged binoculars, steel canteen flask, handheld tactical radio, combat survival knife with sheath, compact first aid pouch, tactical LED flashlight, lensatic compass, pocket multi-tool pliers, accurate relative real-world scale proportions, backpack is largest and compass is smallest, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
21,"Madenler, Değerli Taşlar & Külçeler","maden_ve_taslar","Külçe altın, Gümüş külçe, Titanyum blok, Bakır külçe, Ham yakut, Kesilmemiş zümrüt, Parlak elmas, Ametist geodu, Uranyum çubuğu, Meteorit cevheri","knolling sprite sheet collection of precious raw minerals, metal ingots and gemstones, stack of shiny gold ingots, refined silver bar, titanium block, raw copper ingot, unrefined glowing red ruby cluster, raw rough green emerald, large brilliant cut diamond, purple amethyst geode chunk, glowing green uranium fuel cell rod, black pitted meteorite ore chunk, accurate relative real-world scale proportions, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
22,"Melez Eşyalar (Arcane-Tech)","melez_arcane_tech","Plazma tüfek, Büyü parşömeni, Işın katanası, Reaktör çekirdeği, Sibernetik el, Devre kartı, Işınlanma cihazı, Plazma bileklik","knolling sprite sheet collection of hybrid cyber-magic arcane technology equipment, plasma-infused runic energy rifle, holographic digital ancient scroll device, cybernetic glowing neon katana, arcane crystal energy reactor core, biomechanical cybernetic hand, runic printed circuit board, teleportation beacon device, plasma shield bracer, accurate relative real-world scale proportions, rifle and katana are long and reactor core is large, bracer is small, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
23,"Mutfak, Gastronomi & Şef Donanımları","mutfak_gastronomi","Döküm demir tava, Bakır tencere, Şef bıçağı seti, Et satırı, Bakır semaver, Ahşap oklava, Mermer havan, El kahve değirmeni, Porselen tabak seti, Çelik çırpıcı, Biber öğütücü","knolling sprite sheet collection of professional culinary and rustic kitchen cookware, heavy black cast iron skillet, vintage copper cooking pot, forged chef knife, meat cleaver, antique brass tea samovar, wooden rolling pin, white marble mortar and pestle, vintage hand-crank coffee grinder, fine porcelain plates stack, stainless steel whisk, tall wooden pepper mill, accurate relative real-world scale proportions, samovar and skillet are large and spices grinder is small, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
24,"Kilit Açma & Casusluk Aletleri","kilit_ve_hirsizlik","Deri kılıflı maymuncuk seti, Kasa stetoskobu, Dairesel cam vantuzlu kesici, Sessiz elektrikli matkap, UV mor ötesi fener, Şifre kırıcı dekoder, Dürbünlü gözetleme periskobu, Sis bombası, Çelik tel kanca, Sahte kimlik cüzdanı","knolling sprite sheet collection of covert heist, lockpicking and surveillance tools, leather pouch with steel lockpick set, medical safe-cracking stethoscope, suction cup circular glass cutter, compact cordless quiet drill, UV blacklight flashlight, electronic frequency decoder bypass device, smoke grenade canister, grappling hook with braided steel wire, hidden pocket identity badge wallet, accurate relative real-world scale proportions, drill is large and lockpicks are small, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
25,"Tıp, Biyoloji & Acil Müdahale","tip_ve_saglik","Taşınabilir defibrilatör, Cerrahi neşter seti, Dijital tansiyon aleti, Metal ilk yardım çantası, Stetoskop, İlaç ampulleri, Turnike, Cerrahi makas, Otoskop fener","knolling sprite sheet collection of medical diagnostic, surgical and clinical emergency gear, vintage and modern medical equipment, portable defibrillator AED unit, surgical scalpel tools kit, chrome stethoscope, digital blood pressure monitor, trauma first aid metal box, glass medicine ampoules vials rack, surgical scissors, tactical tourniquet, medical otoscope flashlight, accurate relative real-world scale proportions, defibrillator and metal box are large and scalpel is small, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
26,"Denizcilik, Seyir & Balıkçılık","denizcilik_ve_balikcilik","Gemi dümeni, Çıpa ve halat, Pirinç usturlap sekstant, Balıkçı zıpkını, Can simidi, Gemici feneri, Pirinç dürbün, Cep pusulası, Makaralı olta","knolling sprite sheet collection of maritime navigation, fishing and seafaring equipment, vintage brass ship steering wheel helm, forged iron boat anchor with rope, brass sextant astrolabe, handheld fisherman harpoon, lifebuoy ring, brass marine lantern, telescopic spyglass brass telescope, pocket nautical compass, fishing rod with reel, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
27,"Arkeoloji, Kazı & Antik Kalıntılar","arkeoloji_ve_antik_kalintilar","Altın firavun maskı, Pişmiş toprak amfora, Kazınmış scarab böceği, Trilobit fosili, Jeolog çekici, Toz temizleme fırçası, Pirinç büyüteç, Çivi yazılı kil tablet, Kazı defteri, Antik baykuş sikkesi","knolling sprite sheet collection of ancient archaeology expedition and historical artifacts, golden pharaoh burial death mask, ancient terracotta amphora vase, carved scarab beetle talisman, fossilized trilobite stone, geological pick hammer, horsehair dusting brush, large brass magnifying glass, ancient cuneiform clay tablet, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
28,"Tarım, Bahçe & Peyzaj Ekipmanları","tarim_ve_bahce_ekipmanlari","Motorlu tırpan, Kırmızı çim biçme makinesi, Dövme bahçe küreği, Budama makası, Elektrikli su pompası, Pirinç hortum tabancası, Ahşap fide sandığı, Demir yaba tırmık","knolling sprite sheet collection of agricultural farming, landscaping and garden tools, gas-powered weed trimmer, vintage red lawnmower, heavy forged garden shovel spade, bypass pruning shears, electric water pump, brass garden hose nozzle sprayer, wooden seed tray box, rustic pitchfork, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"

